EPID,PartNumber
110363326,16475
110366005,17117
110375808,15551
110383116,15563
110390182,16377
110408067,15566
110408900,16391
110411437,15544
110417967,15589
110436918,15562
112518314,15574
112526561,15001
112528974,15062
112558941,15093
112564851,16392
112570881,16378
112605540,15497
112608025,15496
112611798,15097
112612838,15083
112622684,17910
112625192,17137
112631900,15094
112634644,15490
112638687,15487
112651182,16991
112657828,15492
112673282,15082
112680449,17128
112690386,15111
112699598,15573
112711527,15085
112711670,15482
112711777,15073
112715608,16550
112716475,17136
112724223,15542
112734305,15525
112742384,15498
112747355,15110
112753158,15557
112755768,17124
112759559,16551
112764906,17109
112771588,15088
112773637,15057
112778907,15458
112787285,15058
112789587,15098
112803842,15101
112817783,15460
112821549,15099
112825686,15063
112831643,17116
112834510,15054
112851919,15548
112875277,15627
112876948,15626
112880769,17135
112885415,15625
112892229,15092
112894457,15087
112899100,15095
112907427,15493
112950803,15096
112959448,15467
112993063,16482
112993073,15078
114935147,15059
114971127,15076
114977796,15075
115085031,15077
115132170,15053
115257751,17030
115263814,15061
115266711,17026
115269021,17987
115270514,17985
115291652,17012
115297294,16979
115300632,15494
115302561,15118
115310946,17986
115313031,17993
115314456,17003
115314551,17018
115315219,15119
115316199,17035
115323986,15137
115325757,17920
115329835,16976
115330209,17027
115335410,17996
115335852,17024
115338106,15130
115338920,17013
115339697,15120
115340682,17991
115343779,16733
115347889,17002
115352427,15121
115355033,15069
115355102,16986
115355774,17011
115363274,17036
115369698,16561
115372887,17021
115380980,15138
115394693,17038
115407193,16985
140168564,16596
168723160,15380
168738180,15148
168750694,15123
168763880,15181
168766963,15173
168857110,15154
168874538,15135
168914990,15132
168992605,15175
169030782,16755
169057873,15134
169059316,15172
169066626,15166
169074877,15060
169091402,15156
169118166,15071
169136738,15176
169184292,15491
169188308,15159
169198169,15147
169202900,17001
169222055,17916
169233185,15136
169239844,15174
169245119,15131
169246865,15555
169248630,15153
169286307,15070
169342802,15158
169363840,15133
169384269,15161
169406576,15489
169468244,15163
169475148,15495
169495814,15139
169511894,16384
169522316,16380
169526672,15146
169642937,16382
173945196,15196
174011047,15216
174038262,16786
174068832,15229
174202093,15112
174212791,15218
174226849,18972
174321744,15486
174363671,15195
174372896,18908
174395147,16980
174437116,18991
174437377,18923
174459760,17005
174466864,15209
174484891,18907
174485227,16592
174493188,15211
174537352,15577
174539167,15212
174543541,18990
174545232,17004
174559991,18920
174599359,15201
174628038,18992
174650759,15192
174653890,18986
174685221,18997
174692335,15182
174804838,15198
174820990,16736
174842400,15210
174875900,18987
174894239,16978
174897393,15179
174911443,18984
174928761,15231
175007377,15213
175018218,15217
175021956,15207
175043569,15204
175065845,18916
175076630,15193
175092104,16479
175117312,18993
175117357,15197
175142488,15234
178986621,15240
179017941,15293
179029182,18904
179063457,17145
179159642,17148
179202666,16590
179260695,15284
179278794,15283
179309945,15241
179329086,15289
179352443,15292
179444868,17930
179448419,15290
179846318,15180
180043300,15266
180094683,15271
187949563,15250
188201860,15248
191033052,15200
191037517,15249
191793859,16847
192806648,15251
194721029,15311
194728274,18906
194803715,17854
194820841,15310
194824858,15235
194846190,15225
194859570,15309
194956503,15312
194964682,15244
195009676,15314
202832239,15316
202862774,15171
202877142,15328
202890262,15065
202905061,15325
202915669,15321
202920702,15317
202921123,16589
202942677,17149
202952124,15233
202967472,16493
202977017,15322
202990380,15320
203114740,18912
203177624,17975
203236718,15323
203238253,17051
203277848,15326
210123501,19169
210142091,15334
210186942,15335
210195797,18930
210199696,15337
210237976,15349
210238470,19164
210280532,15351
210297128,15362
210297721,19168
210308493,18929
210315781,17860
210324566,17054
210358835,15253
210366209,17041
210522618,15368
214760002,19186
214762815,19195
214774305,19013
214784600,15338
214792474,15383
214808327,19187
214811911,19188
214812595,15378
214827265,19134
214841165,19117
214844729,19089
214854794,19056
214879734,19193
214883612,17863
214899660,15369
214903417,18928
214906234,17857
214943607,17862
214946471,19114
214946948,15336
214974856,17859
214975571,19132
214982571,19210
214984267,15168
214987169,19163
215031301,15352
215032034,17861
215048493,19116
215056384,19024
215057561,19012
215058138,17151
215060391,17855
215083088,19123
215086749,15358
215090737,19192
215119873,15356
215151105,17040
215151652,15365
215166367,16749
215170534,19011
215174110,19041
215184169,19111
215207980,17056
215225242,19096
215226040,19167
215226067,19083
215233094,19051
216054152,17057
216105360,15205
216110813,17053
216122400,15364
216132227,19023
216144038,19172
216145653,15277
216477949,15331
217686374,19233
217691628,19234
217757309,19227
217759810,19182
217789724,19207
217887543,19226
217975904,19230
218068120,19235
218155312,19225
218180063,19183
222709842,19045
222753425,19119
222763410,19048
222793161,19046
222851048,19273
222881260,19280
222882096,19260
222886110,19250
222896448,19251
227040265,10701
227405744,19185
227420605,19292
227541985,15167
227768571,15222
228103803,19184
229927421,19339
229986505,19313
229999694,19322
230022499,19302
230070014,19297
230071306,19338
230080984,19310
230102050,19283
230149151,17866
230154063,19296
230171238,19336
230229908,19332
230247442,19299
230300606,19337
230307017,19309
230314491,19274
230324930,17865
230325297,19325
230385369,19342
230600253,19344
235454554,19349
235531365,19356
235946911,19165
236248331,19333
236319184,19363
236332475,19351
236394275,19360
238030993,17871
238040017,18943
238057103,18942
238127759,17065
238150367,19366
238199493,19365
238655919,19371
239423526,19374
243262921,18950
243302751,19394
243374489,18954
243377149,17874
243443308,18949
243444177,18952
243588764,17875
243605340,17070
243663569,17876
