EPID,PartNumber
81442287,16739
81457349,16530
81457359,16568
81466718,16519
81470834,16510
81475525,16768
81475565,16857
81481736,16534
81481806,16578
81482566,16535
81510272,16898
81514744,16553
81517956,16714
81519465,16573
81530347,16734
81536269,16528
81541623,16558
81544098,16896
81548090,16854
81550731,16757
81554154,16884
81572749,16886
81573177,16572
81577053,16866
81588778,16514
81597134,16567
81600846,16893
81601545,16485
81602415,16585
81602735,16544
81627788,16522
81631170,16899
81631270,16432
81632111,16517
81636645,16748
81637002,16492
81655927,16597
81656827,16560
81656937,16537
81677356,16775
81703938,16716
81724874,16526
81779168,16562
81782919,16870
81798018,16487
81800987,16500
83078274,16470
83146739,16484
83217441,16471
83544884,15732
83589325,16539
93700765,16916
93705254,16423
93708084,15599
93710181,15833
93714206,16917
93721626,16425
93729565,16465
93740393,16464
93745082,15519
93766148,16477
93778663,16769
93787167,16712
93789480,16507
109946104,17130
109965022,16555
109966279,15564
109968579,15552
109969442,16393
109972811,17106
109985575,15584
109991056,15545
109994794,16638
110003416,15586
110009239,16929
110017619,16389
110020601,15569
110023427,17118
110026266,17112
110028274,16394
110030572,16399
110049630,17129
110050326,15592
110056597,15580
110060349,15598
110063832,17104
110065077,15527
110067849,17105
110072123,17108
110081195,15593
110081697,15583
110081978,15587
110094434,17103
110102298,17127
110102537,15550
110107198,15591
110111222,17101
110111512,15594
110113094,15582
110115317,15769
110115347,16690
110128304,16766
110133810,17107
110150242,16388
110150458,17133
110151109,17121
110166199,15521
110177169,16992
110179445,17102
110183490,16990
110184926,16993
110190445,15522
110191973,17110
110193194,17113
110198382,16395
110198402,16379
110213857,15595
110219701,15715
110228503,16387
110230060,17125
110250193,15523
110251150,16724
110251170,15597
110252038,15529
110262974,16476
110267625,17114
110283398,15578
110291025,15541
110296746,17115
110298432,16650
110304728,17111
110305730,15520
110310191,16639
110310331,16390
110313517,16994
110324324,15561
110337315,15590
110339570,15579
110343144,17120
110350621,16398
110351848,16587
110353224,16478
110361222,17122
110363306,16459
110363326,16475
110366005,17117
110375808,15551
110383116,15563
110390182,16377
110408067,15566
110408900,16391
110411437,15544
110417967,15589
110430503,17126
110436918,15562
112518314,15574
112526561,15001
112528974,15062
112558941,15093
112564851,16392
112570881,16378
112579839,16503
112580444,16995
112605540,15497
112608025,15496
112611798,15097
112612838,15083
112622684,17910
112625192,17137
112625234,15000
112631900,15094
112634172,17908
112634312,15084
112634644,15490
112635200,16483
112637994,15072
112638687,15487
112642503,16996
112643484,15089
112651182,16991
112657756,16710
112657828,15492
112673282,15082
112676376,15461
112680449,17128
112690386,15111
112699598,15573
112710876,17119
112711527,15085
112711670,15482
112711777,15073
112715608,16550
112716475,17136
112719783,15588
112724223,15542
112731290,15565
112734305,15525
112742384,15498
112747355,15110
112753158,15557
112754396,15090
112755768,17124
112759559,16551
112764906,17109
112771588,15088
112773637,15057
112778907,15458
112784015,15596
112787285,15058
112789587,15098
112803842,15101
112817783,15460
112818156,15086
112821549,15099
112825686,15063
112826371,15056
112831643,17116
112834510,15054
112851919,15548
112869326,15105
112875277,15627
112876948,15626
112880769,17135
112885415,15625
112892229,15092
112894457,15087
112899100,15095
112907427,15493
112926389,15068
112950803,15096
112959448,15467
112993073,15078
114935147,15059
114971127,15076
114977796,15075
115085031,15077
115132170,15053
115257751,17030
115263814,15061
115266711,17026
115269021,17987
115270514,17985
115285264,15116
115291652,17012
115297294,16979
115300632,15494
115302561,15118
115303576,17143
115305351,17992
115307094,17994
115310946,17986
115313031,17993
115314456,17003
115314551,17018
115315219,15119
115316199,17035
115318215,15115
115323986,15137
115325757,17920
115329835,16976
115330209,17027
115331497,15064
115335410,17996
115335852,17024
115336807,17144
115338106,15130
115338920,17013
115339697,15120
115340189,17998
115340682,17991
115343779,16733
115345645,16729
115347889,17002
115352427,15121
115355033,15069
115355102,16986
115355774,17011
115357990,17901
115363274,17036
115369698,16561
115372887,17021
115376953,15117
115380980,15138
115394693,17038
115407193,16985
115412497,17982
140168564,16596
140187704,16792
168612141,15157
168680677,15399
168738180,15148
168750694,15123
168763880,15181
168766963,15173
168857110,15154
168865973,15155
168874538,15135
168914990,15132
168948999,15162
168992605,15175
169057873,15134
169059316,15172
169066626,15166
169074877,15060
169078299,15145
169091402,15156
169107791,15396
169118166,15071
169136738,15176
169149947,15149
169171771,15142
169184292,15491
169188308,15159
169198169,15147
169202900,17001
169222055,17916
169233185,15136
169239844,15174
169245119,15131
169246865,15555
169248630,15153
169283678,15151
169286280,15178
169286307,15070
169335483,16860
169342802,15158
169348061,15160
169362580,17019
169363840,15133
169384269,15161
169385631,15177
169386370,15152
169399397,15478
169406576,15489
169426948,15415
169434172,17918
169468244,15163
169475148,15495
169495814,15139
169511894,16384
169520242,15453
169522316,16380
169526672,15146
169529727,15129
169551567,15150
169571156,15127
169571258,16386
169642937,16382
173884462,15199
173945196,15196
174000504,18901
174011047,15216
174038262,16786
174068832,15229
174102568,15238
174152829,15165
174166006,18922
174201315,15239
174202093,15112
174212641,17006
174212791,15218
174226849,18972
174252803,18951
174321744,15486
174360697,18971
174363671,15195
174367206,18927
174372896,18908
174395147,16980
174437377,18923
174459760,17005
174460249,15567
174466864,15209
174467739,18911
174480212,15568
174484891,18907
174485227,16592
174493188,15211
174537352,15577
174539167,15212
174543541,18990
174545232,17004
174550148,18998
174555508,18913
174557253,15576
174599359,15201
174606308,18999
174611307,15194
174650759,15192
174685221,18997
174692335,15182
174736401,15230
174804838,15198
174815920,15164
174819828,15237
174820990,16736
174837419,18995
174842400,15210
174872492,15215
174876503,15203
174894239,16978
174897393,15179
174911443,18984
174913829,15236
174970311,15394
174983269,18915
175007377,15213
175018218,15217
175021956,15207
175043569,15204
175065845,18916
175076630,15193
175092104,16479
175117357,15197
175142488,15234
178977296,15269
178986621,15240
179017941,15293
179063457,17145
179159642,17148
179202666,16590
179260695,15284
179278794,15283
179309945,15241
179323917,15281
179326311,15268
179352443,15292
179448419,15290
179655780,17146
179846318,15180
180043300,15266
180094683,15271
180135402,15267
180247748,15270
187949563,15250
191033052,15200
191037517,15249
191793859,16847
192806648,15251
194721029,15311
194730426,15245
194791874,15306
194801530,15305
194820841,15310
194824858,15235
194846190,15225
194858421,15294
194859570,15309
194877901,15297
194940498,15304
194944116,15315
194956503,15312
194964682,15244
195009676,15314
202779531,17959
202832239,15316
202847725,15324
202862774,15171
202877142,15328
202890262,15065
202905061,15325
202915669,15321
202920702,15317
202921123,16589
202935823,15227
202942677,17149
202952124,15233
202967472,16493
202977017,15322
202990380,15320
203030127,17147
203056018,15327
203114740,18912
203177624,17975
203236718,15323
203238253,17051
203277848,15326
210123501,19169
210142091,15334
210181374,15363
210186942,15335
210195797,18930
210199696,15337
210201449,15329
210228835,19179
210235614,15366
210237976,15349
210239404,19174
210280532,15351
210281783,15344
210296267,17864
210297128,15362
210297721,19168
210308493,18929
210315781,17860
210324566,17054
210358835,15253
210366209,17041
210369671,15361
210427336,17052
210522618,15368
214694231,15354
214747684,19176
214760002,19186
214761602,15367
214762815,19195
214778322,19203
214784600,15338
214788644,19191
214809914,15355
214811911,19188
214813997,15339
214833648,15278
214841165,19117
214844729,19089
214854794,19056
214861765,19053
214861795,19131
214879734,19193
214883612,17863
214894424,19101
214903417,18928
214906234,17857
214915605,15333
214919949,15359
214922197,19052
214940776,15318
214943607,17862
214946948,15336
214952173,19209
214952511,17042
214974856,17859
214982571,19210
214985276,17200
214989009,19190
215013432,19200
215022719,19198
215031301,15352
215032034,17861
215048412,19027
215048493,19116
215056384,19024
215058138,17151
215060391,17855
215070789,19175
215077745,19217
215086749,15358
215099163,19103
215103146,19026
215112877,19206
215113361,19181
215115689,19211
215138052,19100
215151105,17040
215151652,15365
215166367,16749
215174110,19041
215184169,19111
215207980,17056
215225242,19096
215226040,19167
215243200,19099
215245888,18931
215996954,19097
216019031,15360
216046239,18933
216054152,17057
216105360,15205
216109556,19218
216110813,17053
216122400,15364
216129427,15353
216132227,19023
216144038,19172
216145653,15277
216457006,15330
216477949,15331
216562848,15350
222751134,15357
227284741,15279
227405744,19185
227541985,15167
227783961,15441
228103803,19184
