EPID,PartNumber,,,
110124483,49465,,,
110124573,49505,,,
110126217,49765,,,
110126357,23862,,,
110126367,23353,,,
110126380,49244,,,
110126618,95220,,,
110126727,23552,,,
110127057,22637,,,
110127498,23891,,,
110127518,93168,,,
110129196,49760,,,
110129256,93189,,,
110129266,49602,,,
110129526,49683,,,
110129596,23369,,,
110130443,23254,,,
110130453,23484,,,
110130483,23825,,,
110130503,93213,,,
110133227,23824,,,
110133267,49227,,,
110133277,23395,,,
110134029,50884,,,
110134428,93144,,,
110134458,93208,,,
110134478,49296,,,
110135653,23662,,,
110135666,49965,,,
110135686,93476,,,
110135733,49724,,,
110135743,49675,,,
110135856,49186,,,
110136194,49938,,,
110136324,49165,,,
110136345,23438,,,
110136880,23466,,,
110136894,22963,,,
110136900,55400,,,
110138587,23325,,,
110140158,23650,,,
110141654,49899,,,
110142486,26203,,,
110143129,23689,,,
110145418,49783,,,
110145425,23357,,,
110145452,49470,,,
110145515,23633,,,
110146814,49698,,,
110147231,23716,,,
110148275,93686,,,
110148661,24201,,,
110148731,49622,,,
110148811,49241,,,
110148831,49658,,,
110151346,93324,,,
110153343,49481,,,
110153473,49477,,,
110153510,49696,,,
110153830,26228,,,
110153840,23429,,,
110153880,50845,,,
110153933,93314,,,
110153950,50810,,,
110153980,23795,,,
110155954,23993,,,
110156244,49568,,,
110158132,23619,,,
110158172,23101,,,
110159402,50862,,,
110160123,22937,,,
110160173,93148,,,
110160197,49172,,,
110160207,25208,,,
110160233,49312,,,
110160309,93307,,,
110160343,93273,,,
110160429,50818,,,
110160557,95472,,,
110160577,49452,,,
110160607,49642,,,
110160616,93995,,,
110160637,49107,,,
110160676,23959,,,
110160696,49471,,,
110160700,49621,,,
110160760,23511,,,
110162148,49544,,,
110162188,23859,,,
110162198,23352,,,
110162315,49013,,,
110162335,23470,,,
110162388,49890,,,
110162395,23890,,,
110162445,23992,,,
110162458,25210,,,
110162475,49605,,,
110162548,49096,,,
110162578,49313,,,
110163501,23449,,,
110163511,22626,,,
110164186,23695,,,
110164211,23652,,,
110164266,23505,,,
110164291,49722,,,
110164566,93248,,,
110164646,23314,,,
110166543,23554,,,
110167057,49891,,,
110167157,49714,,,
110167167,23269,,,
110167277,93210,,,
110169048,23220,,,
110169058,93302,,,
110169198,49775,,,
110169238,49720,,,
110169784,50240,,,
110169794,93228,,,
110169854,50811,,,
110174331,25206,,,
